AIRLINE,AIRLINE_CODE,ORIGIN,DEST,TAXI_OUT,TAXI_IN,CANCELLED,CANCELLATION_CODE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
Southwest Airlines Co.,WN,MCI,MDW,16.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,ORD,BWI,8.0,13.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,CLT,EYW,21.0,17.0,0.0,,0.0,0.0,0.0,0.0,0.0
PSA Airlines Inc.,OH,DCA,SAV,17.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
Alaska Airlines Inc.,AS,KTN,SEA,10.0,24.0,0.0,,0.0,0.0,9.0,0.0,21.0
Southwest Airlines Co.,WN,PHX,LAX,13.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,SEA,SMF,25.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,SAN,SJC,13.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,SAV,ATL,34.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0
Endeavor Air Inc.,9E,MSP,RDU,14.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,ATL,PIT,13.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,SEA,SMF,15.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,PSC,MSP,31.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,EWR,ATL,15.0,5.0,0.0,,0.0,0.0,0.0,0.0,16.0
Mesa Airlines Inc.,YV,FSD,DFW,12.0,16.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,CLT,BUF,14.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0
JetBlue Airways,B6,FLL,EWR,17.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,TPA,BNA,11.0,18.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,PIT,CLT,11.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,CMH,DEN,9.0,38.0,0.0,,0.0,0.0,0.0,0.0,0.0
Alaska Airlines Inc.,AS,SFO,MCO,26.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
